temp,rh,so2,no2,co,pm10,pm2.5,o3,day,dow,death_total
25.3,54,11.56695906,34.57573099,0.660065,61.4355242,49.69726608,95.375,244,1,297
25.6,61,9.210144928,32.8492351,0.623819928,33.59056468,23.36974638,99.875,245,2,258
25.6,59,6.457912458,43.75420875,0.712581818,22.94093838,16.92952636,123.875,246,3,271
24.9,54,9.085137085,38.22895623,0.674395257,35.46700747,21.50604743,94,247,4,272
23,76,18.08369408,60.08080808,1.063786364,106.8595858,87.53636364,63.91133619,248,5,246
21,87,24.53030303,53.52525253,0.887181818,134.0545543,98.66818182,52.25,249,6,255
22.7,79,13.05584795,39.62222222,0.76531,81.50650433,65.84605263,71.37712595,250,7,263
24,81,7.941432641,32.00832316,0.546538095,58.74074328,42.15546173,99.68494318,251,1,243
25.9,77,13.36019721,45.57278044,0.800727273,62.87079943,50.62963203,129,252,2,289
28.3,75,21.79236813,41.60381594,0.994104545,90.69011516,81.91597554,158.375,253,3,306
27.2,84,13.97796053,36.03125,0.612455,81.53945499,48.89444444,122.3173517,254,4,278
28.2,78,9.697381423,26.46788538,0.503602569,51.2037037,30.22288098,76.85714286,255,5,295
27.4,83,12.58523904,33.7823499,0.703117391,72.20295815,54.40982287,117.2857143,256,6,260
27,80,16.83838384,38.03030303,0.647668182,64.40817662,43.87240829,108.974033,257,7,260
26.6,78,8.475563084,24.60593513,0.496269565,41.11797534,25.58648598,102.1428571,258,1,264
26,67,11.56506239,20.84937611,0.594309091,46.77968415,24.52858852,103.8212336,259,2,281
24.7,69,19.84545455,50.27626263,1.103022727,144.7401863,98.93910534,104.7142857,260,3,230
25.9,66,15.34082892,55.12839506,1.026119048,172.8679218,126.5619048,101.8409491,261,4,294
26,74,10.72275132,47.04338624,0.907347619,118.3362668,79.66611111,96.49379679,262,5,292
26.3,80,10.79268879,34.04136604,0.836541342,58.4702381,40.85285205,89.20331753,263,6,263
25.7,87,11.52717653,33.32828283,0.819313636,68.27729021,71.77272727,80.5,264,7,272
26.6,88,9.146296296,57.08888889,0.771866667,54.57949495,41.92,59.625,265,1,272
27.8,79,12.99935666,52.09619408,0.815960823,86.92601856,63.05267316,65.625,266,2,310
27,81,9.975845411,22.43192798,0.511973913,45.36317448,23.93478261,80.75,267,3,293
22.3,69,8.964946952,19.89185524,0.484895652,36.62810845,17.26727689,77.125,268,4,257
21.7,56,10.67698413,24.82063492,0.498414286,46.04933584,22.97857143,93.375,269,5,243
21.2,64,8.779333956,22.9973545,0.500671429,41.18022452,22.89365079,108.75,270,6,285
22.1,79,9.104871176,19.84440419,0.474764674,36.71912405,20.16557971,103.6180506,271,7,244
21.6,78,9.603059581,18.06421095,0.4927,35.97989523,15.94202899,94.25,272,1,257
23,72,6.982038429,14.48362906,0.4217375,45.935129,16.18583333,101.3248424,273,2,249
23.4,67,6.12444417,11.04098732,0.35939837,51.05905289,19.82259552,108.75,274,3,286
21.3,75,12.36650198,27.35083992,0.564399407,59.63422619,36.33230472,113.125,275,4,253
21,55,19.31709559,40.58312909,0.786738889,126.8538831,102.813031,87.375,276,5,254
21.5,64,12.45892857,31.90892857,0.511692857,64.06106061,44.03095238,107.2857143,277,6,260
21.9,78,16.47374226,40.54880031,0.673832619,74.69140068,50.05580495,79.82163368,278,7,283
23.5,90,12.29176201,26.70537757,0.495047826,58.5861882,46.20835785,55.42857143,279,1,285
23.6,94,10.11988304,15.04605263,0.406947368,42.20289337,22.56315789,53,280,2,305
21,95,10.75654762,13.82559524,0.408219048,32.70753422,15.08214286,54.33333333,281,3,263
22.5,81,8.613194444,14.79305556,0.369475,24.3818219,12.62444444,65,282,4,281
23,86,12.36111111,21.5,0.633011111,31.68055556,17.64444444,84.16666667,283,5,302
22.1,78,17.55386905,34.06547619,0.747471429,82.9220226,56.31190476,150.5714286,284,6,268
21.5,67,17.59646739,36.77015399,0.7755,105.1959015,74.42559524,132.6899843,285,7,242
21.6,69,11.25303025,24.32535106,0.517066667,62.3583493,40.80598095,114.0240698,286,1,286
24.4,65,11.7166502,22.65316206,0.577432016,53.9497865,29.19098814,95,287,2,299
